"","X","Y","ANOSIM_R","signif"
"1","Oscillospiraceae","Bacteroidales",0.250047156726768,1e-04
"2","Bacteroidales","Oscillospiraceae",0.250047156726768,1e-04
"3","Oscillospiraceae","Lachnospiraceae",0.0925233585858586,0.0128
"4","Lachnospiraceae","Oscillospiraceae",0.0925233585858586,0.0128
"5","Oscillospiraceae","Selenomonadaceae",0.114139917695473,0.0212
"6","Selenomonadaceae","Oscillospiraceae",0.114139917695473,0.0212
"7","Oscillospiraceae","Clostridiaceae",0.204698666666667,5e-04
"8","Clostridiaceae","Oscillospiraceae",0.204698666666667,5e-04
"9","Oscillospiraceae","Coprobacillaceae",0.395583333333333,1e-04
"10","Coprobacillaceae","Oscillospiraceae",0.395583333333333,1e-04
"11","Oscillospiraceae","Bifidobacteriaceae",NA,0.4554
"12","Bifidobacteriaceae","Oscillospiraceae",NA,0.4554
"13","Oscillospiraceae","Eubacteriaceae",0.186402777777778,0.0116
"14","Eubacteriaceae","Oscillospiraceae",0.186402777777778,0.0116
"15","Bacteroidales","Lachnospiraceae",0.221830669330669,1e-04
"16","Lachnospiraceae","Bacteroidales",0.221830669330669,1e-04
"17","Bacteroidales","Selenomonadaceae",0.196658503401361,0.0022
"18","Selenomonadaceae","Bacteroidales",0.196658503401361,0.0022
"19","Bacteroidales","Clostridiaceae",0.499741583257507,1e-04
"20","Clostridiaceae","Bacteroidales",0.499741583257507,1e-04
"21","Bacteroidales","Coprobacillaceae",0.905973214285714,1e-04
"22","Coprobacillaceae","Bacteroidales",0.905973214285714,1e-04
"23","Bacteroidales","Bifidobacteriaceae",0.520794642857143,1e-04
"24","Bifidobacteriaceae","Bacteroidales",0.520794642857143,1e-04
"25","Bacteroidales","Eubacteriaceae",0.703071428571429,1e-04
"26","Eubacteriaceae","Bacteroidales",0.703071428571429,1e-04
"27","Lachnospiraceae","Selenomonadaceae",NA,0.6491
"28","Selenomonadaceae","Lachnospiraceae",NA,0.6491
"29","Lachnospiraceae","Clostridiaceae",NA,0.1238
"30","Clostridiaceae","Lachnospiraceae",NA,0.1238
"31","Lachnospiraceae","Coprobacillaceae",NA,0.341
"32","Coprobacillaceae","Lachnospiraceae",NA,0.341
"33","Lachnospiraceae","Bifidobacteriaceae",NA,0.6771
"34","Bifidobacteriaceae","Lachnospiraceae",NA,0.6771
"35","Lachnospiraceae","Eubacteriaceae",NA,0.097
"36","Eubacteriaceae","Lachnospiraceae",NA,0.097
"37","Selenomonadaceae","Clostridiaceae",0.364338983050847,1e-04
"38","Clostridiaceae","Selenomonadaceae",0.364338983050847,1e-04
"39","Selenomonadaceae","Coprobacillaceae",0.939022222222222,1e-04
"40","Coprobacillaceae","Selenomonadaceae",0.939022222222222,1e-04
"41","Selenomonadaceae","Bifidobacteriaceae",0.784888888888889,1e-04
"42","Bifidobacteriaceae","Selenomonadaceae",0.784888888888889,1e-04
"43","Selenomonadaceae","Eubacteriaceae",0.887911111111111,1e-04
"44","Eubacteriaceae","Selenomonadaceae",0.887911111111111,1e-04
"45","Clostridiaceae","Coprobacillaceae",NA,0.3049
"46","Coprobacillaceae","Clostridiaceae",NA,0.3049
"47","Clostridiaceae","Bifidobacteriaceae",NA,0.4976
"48","Bifidobacteriaceae","Clostridiaceae",NA,0.4976
"49","Clostridiaceae","Eubacteriaceae",NA,0.052
"50","Eubacteriaceae","Clostridiaceae",NA,0.052
"51","Coprobacillaceae","Bifidobacteriaceae",0.546666666666667,1e-04
"52","Bifidobacteriaceae","Coprobacillaceae",0.546666666666667,1e-04
"53","Coprobacillaceae","Eubacteriaceae",0.456666666666667,0.0011
"54","Eubacteriaceae","Coprobacillaceae",0.456666666666667,0.0011
"55","Bifidobacteriaceae","Eubacteriaceae",0.231777777777778,0.0067
"56","Eubacteriaceae","Bifidobacteriaceae",0.231777777777778,0.0067
